,sentiments_x2
761,Not Valid
762,Not Valid
763,Not Valid
764,Not Valid
765,0.061512500047683716
766,0.9693913459777832
767,Not Valid
768,0.05185127258300781
769,0.9501851201057434
770,0.23986077308654785
771,Not Valid
772,Not Valid
773,Not Valid
774,Not Valid
775,Not Valid
776,Not Valid
777,Not Valid
778,0.044205933809280396
779,0.7172508835792542
780,0.06357860565185547
781,0.04467368125915527
782,Not Valid
783,0.9932628870010376
784,Not Valid
785,Not Valid
786,0.06650453805923462
787,0.8718401789665222
788,0.15590313076972961
789,0.03812089562416077
790,0.9644515514373779
791,Not Valid
792,Not Valid
793,0.20550662279129028
794,0.01535138487815857
795,Not Valid
796,0.1310616135597229
797,0.041562288999557495
798,0.19993433356285095
799,0.21400991082191467
800,Not Valid
801,Not Valid
802,0.08112433552742004
803,0.8765382170677185
804,0.02298465371131897
805,0.7267940044403076
806,0.014275223016738892
807,Not Valid
808,0.07104024291038513
809,Not Valid
810,0.9781945943832397
811,0.005470544099807739
812,Not Valid
813,0.00626179575920105
814,Not Valid
815,0.14414909482002258
816,Not Valid
817,Not Valid
818,Not Valid
819,Not Valid
820,Not Valid
821,Not Valid
822,0.09550231695175171
823,Not Valid
824,Not Valid
825,Not Valid
826,Not Valid
827,Not Valid
828,Not Valid
829,Not Valid
830,Not Valid
831,0.09640136361122131
832,0.24596744775772095
833,0.97711580991745
834,Not Valid
835,0.8626944422721863
836,0.06357860565185547
837,0.06357860565185547
838,Not Valid
839,Not Valid
840,0.0983802080154419
841,Not Valid
842,0.07497468590736389
843,Not Valid
844,0.8792686462402344
845,0.08664757013320923
846,Not Valid
847,0.770304799079895
848,0.9250531196594238
849,0.17864996194839478
850,0.03656119108200073
851,0.06357860565185547
852,Not Valid
853,0.0544150173664093
854,0.030642688274383545
855,Not Valid
856,Not Valid
857,0.7476739287376404
858,0.2370268702507019
859,Not Valid
860,0.1398618221282959
861,0.2936161160469055
862,0.7416238188743591
863,Not Valid
864,Not Valid
865,Not Valid
866,0.16046082973480225
867,0.03861072659492493
868,Not Valid
869,0.8946897983551025
870,Not Valid
871,0.8441029787063599
872,0.9502407908439636
873,Not Valid
874,Not Valid
875,0.1634952425956726
876,0.9005456566810608
877,Not Valid
878,Not Valid
879,Not Valid
880,Not Valid
881,Not Valid
882,0.8811661005020142
883,Not Valid
884,Not Valid
885,0.8817194700241089
886,0.9011025428771973
887,Not Valid
888,Not Valid
889,0.2684118151664734
890,Not Valid
891,Not Valid
892,Not Valid
893,0.0725451409816742
894,0.8514211773872375
895,0.8906281590461731
896,0.9819142818450928
897,Not Valid
898,Not Valid
899,0.8673136234283447
900,0.06129658222198486
901,0.9535832405090332
902,0.025954455137252808
903,0.5
904,0.8001441955566406
905,Not Valid
906,0.1423988938331604
907,0.1313001811504364
908,Not Valid
909,0.9874434471130371
910,0.9049692153930664
911,0.8899703025817871
912,0.07524707913398743
913,0.23466289043426514
914,0.9264984130859375
915,Not Valid
916,Not Valid
917,0.7875344753265381
918,Not Valid
919,Not Valid
920,Not Valid
921,0.7982070446014404
922,0.08898377418518066
923,Not Valid
924,Not Valid
925,Not Valid
926,Not Valid
927,Not Valid
928,0.014020472764968872
929,Not Valid
930,0.27761510014533997
931,0.18704521656036377
932,0.8993601202964783
933,Not Valid
934,0.021251261234283447
935,0.7633285522460938
936,0.05220189690589905
937,0.7165256142616272
938,0.9439949989318848
939,Not Valid
940,0.9447391629219055
941,Not Valid
942,0.09699511528015137
943,Not Valid
944,0.7563530206680298
945,Not Valid
946,0.1521424651145935
947,0.9336506128311157
948,0.07274413108825684
949,0.14466217160224915
950,0.9211030006408691
951,Not Valid
952,Not Valid
953,0.11106598377227783
954,0.06357860565185547
955,Not Valid
956,0.010154515504837036
957,0.943412184715271
958,Not Valid
959,0.16370734572410583
960,0.1779216229915619
961,0.5
962,0.05887433886528015
963,0.132284015417099
964,Not Valid
965,0.5
966,0.2805633544921875
967,Not Valid
968,0.2345341444015503
969,Not Valid
970,0.030342131853103638
971,Not Valid
972,0.806246280670166
973,Not Valid
974,Not Valid
975,0.10760065913200378
976,0.8928319811820984
977,Not Valid
978,0.0775037407875061
979,0.0699341893196106
980,0.7966830730438232
981,Not Valid
982,Not Valid
983,Not Valid
984,0.769752025604248
985,0.04220101237297058
986,0.859723687171936
987,Not Valid
988,0.05536031723022461
989,0.8687827587127686
990,Not Valid
991,0.09685727953910828
992,Not Valid
993,0.0648423433303833
994,Not Valid
995,Not Valid
996,0.2827150821685791
997,0.8265438079833984
998,0.029785960912704468
999,Not Valid
1000,0.15964969992637634
1001,Not Valid
1002,0.028557568788528442
1003,0.2052796483039856
1004,0.008334130048751831
1005,0.15012308955192566
1006,Not Valid
1007,0.750615656375885
1008,Not Valid
1009,0.9306405782699585
1010,0.9379081130027771
1011,Not Valid
1012,0.7791081666946411
1013,0.5
1014,Not Valid
1015,0.009014487266540527
1016,0.997726559638977
1017,0.11047768592834473
1018,0.8562332987785339
1019,Not Valid
1020,Not Valid
1021,0.7504781484603882
1022,Not Valid
1023,Not Valid
1024,Not Valid
1025,Not Valid
1026,0.8892579078674316
1027,0.24649730324745178
1028,0.1734350025653839
1029,Not Valid
1030,Not Valid
1031,Not Valid
1032,Not Valid
1033,Not Valid
1034,Not Valid
1035,Not Valid
1036,Not Valid
1037,Not Valid
1038,Not Valid
1039,0.06357860565185547
1040,0.012538313865661621
1041,Not Valid
1042,Not Valid
1043,0.7892442941665649
1044,0.0753430724143982
1045,Not Valid
1046,0.031405240297317505
1047,0.14668607711791992
1048,Not Valid
1049,Not Valid
1050,Not Valid
1051,Not Valid
1052,Not Valid
1053,Not Valid
1054,0.09222301840782166
1055,Not Valid
1056,0.19221791625022888
1057,0.10896480083465576
1058,Not Valid
1059,0.5
1060,0.8177564740180969
1061,0.21242451667785645
1062,Not Valid
1063,0.2705388069152832
1064,Not Valid
1065,0.7755228281021118
1066,Not Valid
1067,0.11452385783195496
1068,Not Valid
1069,0.5
1070,Not Valid
1071,Not Valid
1072,0.752590537071228
1073,0.14469406008720398
1074,Not Valid
1075,0.061512500047683716
1076,0.10272666811943054
1077,0.7565673589706421
1078,Not Valid
1079,0.7987688779830933
1080,Not Valid
1081,0.18521490693092346
1082,0.5
1083,0.9056024551391602
1084,Not Valid
1085,0.03525221347808838
1086,0.018070518970489502
1087,0.05967211723327637
1088,0.09533950686454773
1089,Not Valid
1090,Not Valid
1091,0.07240444421768188
1092,0.1667027771472931
1093,0.07415014505386353
1094,0.15776628255844116
1095,Not Valid
1096,0.5
1097,0.10613688826560974
1098,0.22168540954589844
1099,0.061030179262161255
1100,Not Valid
1101,0.145484060049057
1102,0.06960952281951904
1103,0.7374202609062195
1104,0.08756491541862488
1105,Not Valid
1106,Not Valid
1107,Not Valid
1108,Not Valid
1109,Not Valid
1110,Not Valid
1111,Not Valid
1112,0.05522152781486511
1113,0.02896028757095337
1114,0.2521435618400574
1115,0.2632143497467041
1116,0.9257531762123108
1117,Not Valid
1118,Not Valid
1119,0.8788017630577087
1120,0.09161922335624695
1121,0.22755688428878784
1122,Not Valid
1123,0.9235038757324219
1124,0.016708284616470337
1125,Not Valid
1126,0.061512500047683716
1127,0.04884308576583862
1128,Not Valid
1129,Not Valid
1130,Not Valid
1131,Not Valid
1132,Not Valid
1133,Not Valid
1134,0.051330119371414185
1135,0.5
1136,Not Valid
1137,Not Valid
1138,0.22579628229141235
1139,Not Valid
1140,Not Valid
1141,0.07062432169914246
1142,Not Valid
1143,Not Valid
1144,0.7964267730712891
1145,Not Valid
1146,Not Valid
1147,0.8179375529289246
1148,0.06326085329055786
1149,0.921118974685669
1150,Not Valid
1151,0.15957152843475342
1152,0.061512500047683716
1153,0.5
1154,Not Valid
1155,0.05758929252624512
1156,0.19038808345794678
1157,Not Valid
1158,0.7684723138809204
1159,0.8232219219207764
1160,0.8946233987808228
1161,Not Valid
1162,Not Valid
1163,Not Valid
1164,0.8551236391067505
1165,0.19255268573760986
1166,0.2740716338157654
1167,0.5
1168,0.2286747395992279
1169,0.7606855630874634
1170,Not Valid
1171,0.9048795700073242
1172,0.08872729539871216
1173,0.11342331767082214
1174,Not Valid
1175,Not Valid
1176,0.17268106341362
1177,Not Valid
1178,0.006560564041137695
1179,0.06381452083587646
1180,0.04573836922645569
1181,0.033173322677612305
1182,0.5
1183,Not Valid
1184,0.17698270082473755
1185,Not Valid
1186,0.9911514520645142
1187,Not Valid
1188,Not Valid
1189,0.20947584509849548
1190,0.8605022430419922
1191,0.8878868222236633
1192,Not Valid
1193,Not Valid
1194,0.10901966691017151
1195,0.8270307779312134
1196,Not Valid
1197,Not Valid
1198,0.26099497079849243
1199,0.979475736618042
1200,Not Valid
1201,Not Valid
1202,0.06371694803237915
1203,0.045603036880493164
1204,0.7421074509620667
1205,Not Valid
1206,Not Valid
1207,0.861387312412262
1208,Not Valid
1209,Not Valid
1210,0.9091364145278931
1211,0.27058348059654236
1212,0.5
1213,Not Valid
1214,0.11061996221542358
1215,Not Valid
1216,0.05564892292022705
1217,Not Valid
1218,0.10833573341369629
1219,0.9276355504989624
1220,0.9056580066680908
1221,Not Valid
1222,Not Valid
1223,0.060901790857315063
1224,0.9952147006988525
1225,0.9583700895309448
1226,0.0009597241878509521
1227,Not Valid
1228,0.041656434535980225
1229,0.11790269613265991
1230,Not Valid
1231,Not Valid
1232,0.1347661316394806
1233,0.13842034339904785
1234,0.9067388772964478
1235,0.24827182292938232
1236,0.034426093101501465
1237,0.13327470421791077
1238,Not Valid
1239,0.937920093536377
1240,Not Valid
1241,Not Valid
1242,0.26181650161743164
1243,0.17382663488388062
1244,Not Valid
1245,0.9508026838302612
1246,Not Valid
1247,Not Valid
1248,Not Valid
1249,Not Valid
1250,Not Valid
1251,0.2925630807876587
1252,0.04896438121795654
1253,Not Valid
1254,Not Valid
1255,Not Valid
1256,Not Valid
1257,Not Valid
1258,0.5
1259,Not Valid
1260,Not Valid
1261,0.9711563587188721
1262,Not Valid
1263,Not Valid
1264,Not Valid
1265,Not Valid
1266,0.03588813543319702
1267,0.9341534972190857
1268,Not Valid
1269,Not Valid
1270,Not Valid
1271,0.0369645357131958
1272,0.8807065486907959
1273,0.9771576523780823
1274,Not Valid
1275,0.8496764898300171
1276,Not Valid
1277,0.982268214225769
1278,Not Valid
1279,0.3097633123397827
1280,0.844786524772644
1281,Not Valid
1282,0.03807103633880615
1283,0.039191991090774536
1284,Not Valid
1285,Not Valid
1286,Not Valid
1287,0.9513881206512451
1288,0.024501442909240723
1289,Not Valid
1290,Not Valid
1291,0.12026965618133545
1292,0.0699341893196106
1293,0.9208934903144836
1294,0.07837224006652832
1295,0.04160839319229126
1296,0.2118547558784485
1297,Not Valid
1298,Not Valid
1299,Not Valid
1300,0.830060601234436
1301,0.2023395597934723
1302,Not Valid
1303,0.8419997692108154
1304,0.10932871699333191
1305,0.05418884754180908
1306,0.9950119256973267
1307,Not Valid
1308,0.969354510307312
1309,Not Valid
1310,Not Valid
1311,Not Valid
1312,Not Valid
1313,Not Valid
1314,0.02575516700744629
1315,Not Valid
1316,Not Valid
1317,Not Valid
1318,Not Valid
1319,0.1557719111442566
1320,0.053532928228378296
1321,Not Valid
1322,0.11682179570198059
1323,0.040326714515686035
1324,Not Valid
1325,Not Valid
1326,0.18305703997612
1327,0.5
1328,Not Valid
1329,Not Valid
1330,0.09530282020568848
1331,0.061334431171417236
1332,0.1807565987110138
1333,0.24937596917152405
1334,0.026993870735168457
1335,Not Valid
1336,0.1219281554222107
1337,0.20237568020820618
1338,Not Valid
1339,Not Valid
1340,Not Valid
1341,0.12255525588989258
1342,Not Valid
1343,0.9521986842155457
1344,Not Valid
1345,0.09224456548690796
1346,Not Valid
1347,0.8024790287017822
1348,0.07056832313537598
1349,Not Valid
1350,0.973054051399231
1351,Not Valid
1352,0.0371776819229126
1353,Not Valid
1354,0.7600042223930359
1355,0.017774909734725952
1356,Not Valid
1357,0.7551612854003906
1358,Not Valid
1359,0.2490001618862152
1360,0.06357860565185547
1361,0.069430410861969
1362,Not Valid
1363,0.7761826515197754
1364,0.06357860565185547
1365,Not Valid
1366,0.13427734375
1367,0.8081712126731873
1368,0.9730435013771057
1369,Not Valid
1370,Not Valid
1371,Not Valid
1372,0.21561038494110107
1373,0.19109854102134705
1374,Not Valid
1375,Not Valid
1376,Not Valid
1377,0.16828885674476624
1378,Not Valid
1379,Not Valid
1380,Not Valid
1381,0.8559253215789795
1382,Not Valid
1383,0.5
1384,0.005760371685028076
1385,Not Valid
1386,0.7420408129692078
1387,Not Valid
1388,0.04188308119773865
1389,Not Valid
1390,Not Valid
1391,Not Valid
1392,Not Valid
1393,0.8122847080230713
