,sentiments_y
1140,Not Valid
1141,Not Valid
1142,Not Valid
1143,Not Valid
1144,Not Valid
1145,Not Valid
1146,Not Valid
1147,Not Valid
1148,Not Valid
1149,Not Valid
1150,Not Valid
1151,Not Valid
1152,Not Valid
1153,Not Valid
1154,Not Valid
1155,Not Valid
1156,0.68889981508255
1157,Not Valid
1158,Not Valid
1159,Not Valid
1160,Not Valid
1161,Not Valid
1162,Not Valid
1163,Not Valid
1164,Not Valid
1165,Not Valid
1166,Not Valid
1167,Not Valid
1168,Not Valid
1169,Not Valid
1170,Not Valid
1171,Not Valid
1172,Not Valid
1173,Not Valid
1174,Not Valid
1175,Not Valid
1176,Not Valid
1177,Not Valid
1178,Not Valid
1179,Not Valid
1180,Not Valid
1181,Not Valid
1182,Not Valid
1183,Not Valid
1184,Not Valid
1185,Not Valid
1186,Not Valid
1187,Not Valid
1188,Not Valid
1189,Not Valid
1190,Not Valid
1191,Not Valid
1192,Not Valid
1193,Not Valid
1194,Not Valid
1195,Not Valid
1196,Not Valid
1197,Not Valid
1198,Not Valid
1199,Not Valid
1200,Not Valid
1201,Not Valid
1202,Not Valid
1203,Not Valid
1204,Not Valid
1205,Not Valid
1206,0.23630735278129578
1207,Not Valid
1208,Not Valid
1209,Not Valid
1210,Not Valid
1211,Not Valid
1212,Not Valid
1213,0.5
1214,Not Valid
1215,Not Valid
1216,Not Valid
1217,Not Valid
1218,Not Valid
1219,Not Valid
1220,Not Valid
1221,Not Valid
1222,Not Valid
1223,Not Valid
1224,Not Valid
1225,Not Valid
1226,Not Valid
1227,Not Valid
1228,Not Valid
1229,Not Valid
1230,Not Valid
1231,Not Valid
1232,Not Valid
1233,Not Valid
1234,Not Valid
1235,Not Valid
1236,Not Valid
1237,Not Valid
1238,Not Valid
1239,Not Valid
1240,Not Valid
1241,Not Valid
1242,Not Valid
1243,Not Valid
1244,Not Valid
1245,Not Valid
1246,Not Valid
1247,Not Valid
1248,Not Valid
1249,Not Valid
1250,Not Valid
1251,Not Valid
1252,Not Valid
1253,Not Valid
1254,Not Valid
1255,Not Valid
1256,Not Valid
1257,Not Valid
1258,Not Valid
1259,Not Valid
1260,Not Valid
1261,Not Valid
1262,Not Valid
1263,Not Valid
1264,Not Valid
1265,Not Valid
1266,Not Valid
1267,Not Valid
1268,Not Valid
1269,Not Valid
1270,Not Valid
1271,Not Valid
1272,Not Valid
1273,Not Valid
1274,Not Valid
1275,Not Valid
1276,Not Valid
1277,Not Valid
1278,Not Valid
1279,Not Valid
1280,Not Valid
1281,Not Valid
1282,Not Valid
1283,Not Valid
1284,Not Valid
1285,Not Valid
1286,Not Valid
1287,Not Valid
1288,Not Valid
1289,Not Valid
